#: table_doi: 10.17182/hepdata.55309.v1/t8
#: name: Table 8
#: description: The measured differential cross section DSIG/DET for inclusive jet  production in the Q**2 region 1000 to 2000 GeV for the anti-KT jet algorithm.

#: data_file: Table8.yaml
#: keyword reactions: E+ P --> E+ JET X | E- P --> E- JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ABS(COS(GAMMA(H))),,,< 0.65
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,920.0
#: ETARAP(P=4),,,-2.0-1.5
#: Q**2 [GeV^2],,,1000.0-2000.0
#: RE,,,E+- P --> E+- JET X
#: SQRT(S) [GeV],,,319.0
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET(P=4) [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,3.34,0.16,-0.16,0.1,-0.08,0.0,-0.1
12.0,10.0,14.0,1.967,0.093,-0.093,0.07,-0.065,0.025,-0.039
16.0,14.0,18.0,1.099,0.068,-0.068,0.049,-0.048,0.036,-0.015
21.5,18.0,25.0,0.477,0.033,-0.033,0.024,-0.024,0.009,-0.011
62.5,25.0,100.0,0.0237,0.0023,-0.0023,0.0015,-0.0015,0.0015,-0.0012

