#: table_doi: 10.17182/hepdata.55309.v1/t5
#: name: Table 5
#: description: The measured differential cross section DSIG/DET for inclusive jet  production in the Q**2 region 125 to 250 GeV for the anti-KT jet algorithm.

#: data_file: Table5.yaml
#: keyword reactions: E+ P --> E+ JET X | E- P --> E- JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ABS(COS(GAMMA(H))),,,< 0.65
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,920.0
#: ETARAP(P=4),,,-2.0-1.5
#: Q**2 [GeV^2],,,125.0-250.0
#: RE,,,E+- P --> E+- JET X
#: SQRT(S) [GeV],,,319.0
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET(P=4) [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,31.6,0.49,-0.49,0.9,-0.93,1.87,-1.56
12.0,10.0,14.0,12.67,0.22,-0.22,0.13,-0.15,0.8,-0.74
16.0,14.0,18.0,3.56,0.11,-0.11,0.03,-0.05,0.26,-0.24
21.5,18.0,25.0,0.79,0.037,-0.037,0.013,-0.012,0.051,-0.047
62.5,25.0,100.0,0.0165,0.0015,-0.0015,0.0013,-0.0013,0.0008,-0.0011

