#: table_doi: 10.17182/hepdata.55309.v1/t9
#: name: Table 9
#: description: The measured differential cross section DSIG/DET for inclusive jet  production in the Q**2 region 2000 to 5000 GeV for the anti-KT jet algorithm.

#: data_file: Table9.yaml
#: keyword reactions: E+ P --> E+ JET X | E- P --> E- JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ABS(COS(GAMMA(H))),,,< 0.65
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,920.0
#: ETARAP(P=4),,,-2.0-1.5
#: Q**2 [GeV^2],,,2000.0-5000.0
#: RE,,,E+- P --> E+- JET X
#: SQRT(S) [GeV],,,319.0
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET(P=4) [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,1.374,0.099,-0.099,0.094,-0.084,0.034,-0.004
12.0,10.0,14.0,0.797,0.059,-0.059,0.03,-0.022,0.009,-0.009
16.0,14.0,18.0,0.598,0.051,-0.051,0.032,-0.026,0.025,-0.012
21.5,18.0,25.0,0.261,0.026,-0.026,0.006,-0.012,0.005,-0.007
62.5,25.0,100.0,0.0189,0.0022,-0.0022,0.001,-0.0011,0.0007,-0.0006

