0.000 2.500 0.771 0.014 0.144
1.000 2.500 0.890 0.010 0.102
2.000 2.500 0.982 0.012 0.073
3.000 2.500 1.006 0.013 0.067
4.000 2.500 1.036 0.017 0.065
5.000 2.500 1.027 0.024 0.063
6.000 2.500 1.089 0.034 0.067
7.000 2.500 0.973 0.042 0.064
8.000 2.500 0.935 0.054 0.067
9.000 2.500 1.103 0.081 0.088
0.000 3.000 0.871 0.012 0.077
1.000 3.000 0.998 0.009 0.066
2.000 3.000 1.095 0.010 0.064
3.000 3.000 1.077 0.013 0.060
4.000 3.000 1.077 0.017 0.061
5.000 3.000 0.992 0.023 0.058
6.000 3.000 0.999 0.032 0.063
7.000 3.000 1.012 0.046 0.072
8.000 3.000 0.906 0.056 0.082
9.000 3.000 1.107 0.103 0.130
0.000 3.500 1.003 0.017 0.065
1.000 3.500 1.054 0.011 0.064
2.000 3.500 1.120 0.014 0.065
3.000 3.500 1.110 0.016 0.064
4.000 3.500 1.079 0.023 0.061
5.000 3.500 1.002 0.032 0.062
6.000 3.500 1.125 0.056 0.096
7.000 3.500 1.170 0.100 0.181
8.000 3.500 1.468 0.222 0.301
0.000 4.000 1.237 0.042 0.093
1.000 4.000 1.324 0.030 0.089
2.000 4.000 1.391 0.032 0.086
3.000 4.000 1.410 0.045 0.107
4.000 4.000 1.237 0.065 0.163
5.000 4.000 2.009 0.301 0.483
