27750.0	480.0	470.0	5780.0
46660.0	510.0	690.0	6130.0
28550.0	290.0	410.0	2410.0
12730.0	150.0	180.0	930.0
5600.0	80.0	90.0	380.0
2530.0	50.0	50.0	160.0
1320.0	30.0	30.0	80.0
650.0	20.0	20.0	40.0
330.0	20.0	10.0	20.0
220.0	10.0	10.0	20.0
29560.0	330.0	290.0	2980.0
46100.0	350.0	380.0	3400.0
25900.0	190.0	220.0	1620.0
10980.0	100.0	100.0	640.0
4590.0	50.0	50.0	260.0
1930.0	30.0	30.0	110.0
920.0	20.0	20.0	60.0
480.0	20.0	10.0	40.0
240.0	10.0	10.0	20.0
130.0	10.0	10.0	10.0
28470.0	380.0	280.0	1980.0
40350.0	380.0	330.0	2610.0
21470.0	180.0	170.0	1260.0
8750.0	90.0	80.0	500.0
3360.0	50.0	40.0	190.0
1380.0	30.0	20.0	80.0
620.0	20.0	10.0	40.0
310.0	10.0	10.0	40.0
140.0	10.0	10.0	30.0
25030.0	580.0	280.0	1780.0
35820.0	560.0	380.0	2540.0
17130.0	230.0	190.0	1090.0
6330.0	100.0	80.0	450.0
2210.0	50.0	30.0	140.0
820.0	30.0	20.0	100.0
