#: table_doi: 10.17182/hepdata.86390.v1/t40
#: name: Normalised dijets for $Q^2$ = 60.0-80.0 GeV$^2$
#: description: Normalised dijet cross sections measured as a function of $\langle P_T \rangle_2$ for $Q^2$ = 60.0-80.0 GeV$^2$.  The correction factors on the theoretical cross sections $c^{\rm had}$ are listed together with their uncertainties.  The radiative correction factors $c^{\rm rad}$ are already included in the quoted cross sections.  Note that the uncertainties labelled $\delta^{E_{e^\prime}}$ and $\delta^{\theta_{e^\prime}}$ in Table 10 of the paper (arXiv:1611.03421v3) should be swapped.  See Table 5 of arXiv:1406.4709v2 for details of the correlation model.
#: data_file: data40.yaml
#: keyword cmenergies: 319.0
#: keyword observables: SIG/SIG
#: keyword phrases: Inclusive | Double Differential Cross Section | Jet Production | Neutral Current | Deep Inelastic Scattering
#: keyword reactions: E+ P --> E+ JETS X | E- P --> E- JETS X
#: $Q^2$ [GeV$^2$],,,60.0-80.0
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 2\,{\rm jets})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $P_T^{\rm jet}$ [GeV],,,> 4
#: $N_{\rm jet}$,,,$\ge 2$
#: $\langle P_T \rangle_2$ [GeV],,,5.0-50.0
$\langle P_T \rangle_2$ [GeV],$\langle P_T \rangle_2$ [GeV] LOW,$\langle P_T \rangle_2$ [GeV] HIGH,$\sigma/\sigma_{\rm NC}$,stat +,stat -,Uncorr +,Uncorr -,Model +,Model -,ModelRW +,ModelRW -,JES +,JES -,RCES +,RCES -,ElEn +,ElEn -,ElTh +,ElTh -,Lumi +,Lumi -,LArN +,LArN -,StatMC +,StatMC -,RadErr +,RadErr -
6.0,5.0,7.0,6.00e-02,5.87%,-5.87%,1.00%,-1.00%,-3.28%,3.28%,-2.38%,2.38%,1.92%,-2.65%,-3.10%,4.38%,-0.36%,-0.83%,-0.48%,0.11%,0.77%,-0.77%,0.60%,-0.60%,2.02%,-2.02%,1.08%,-1.08%
9.0,7.0,11.0,4.77e-02,3.69%,-3.69%,1.00%,-1.00%,-4.86%,4.86%,2.53%,-2.53%,-1.77%,1.27%,-1.13%,0.99%,0.09%,-0.66%,-0.20%,0.08%,0.77%,-0.77%,0.60%,-0.60%,1.05%,-1.05%,0.40%,-0.40%
14.0,11.0,17.0,1.55e-02,4.44%,-4.44%,1.00%,-1.00%,-3.54%,3.54%,3.66%,-3.66%,-3.47%,2.66%,-0.23%,-1.54%,0.41%,-1.33%,-0.53%,0.17%,0.77%,-0.77%,0.60%,-0.60%,1.20%,-1.20%,0.47%,-0.47%
21.0,17.0,25.0,2.91e-03,9.51%,-9.51%,1.00%,-1.00%,-3.44%,3.44%,3.57%,-3.57%,-4.68%,6.20%,1.34%,-0.77%,-0.50%,-0.23%,0.03%,-0.01%,0.77%,-0.77%,0.60%,-0.60%,2.43%,-2.43%,1.33%,-1.33%
30.0,25.0,35.0,3.95e-04,26.92%,-26.92%,1.00%,-1.00%,-2.96%,2.96%,0.13%,-0.12%,-2.84%,8.81%,4.64%,-1.88%,8.74%,0.10%,0.51%,3.04%,0.77%,-0.77%,0.60%,-0.60%,8.08%,-8.08%,2.76%,-2.76%
42.5,35.0,50.0,8.53e-05,45.85%,-45.85%,1.00%,-1.00%,-1.34%,1.34%,18.94%,-18.94%,-7.37%,11.37%,4.26%,-1.57%,2.29%,-0.54%,-2.01%,-0.48%,0.77%,-0.77%,0.60%,-0.60%,14.71%,-14.71%,5.08%,-5.08%

#: $Q^2$ [GeV$^2$],,,60.0-80.0
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 2\,{\rm jets})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $P_T^{\rm jet}$ [GeV],,,> 4
#: $N_{\rm jet}$,,,$\ge 2$
#: $\langle P_T \rangle_2$ [GeV],,,5.0-50.0
$\langle P_T \rangle_2$ [GeV],$\langle P_T \rangle_2$ [GeV] LOW,$\langle P_T \rangle_2$ [GeV] HIGH,$c^{\rm had}$,error +,error -
6.0,5.0,7.0,0.894,0.46%,-0.46%
9.0,7.0,11.0,0.948,0.71%,-0.71%
14.0,11.0,17.0,0.966,1.38%,-1.38%
21.0,17.0,25.0,0.963,2.23%,-2.23%
30.0,25.0,35.0,0.960,1.12%,-1.12%
42.5,35.0,50.0,0.960,2.24%,-2.24%

#: $Q^2$ [GeV$^2$],,,60.0-80.0
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 2\,{\rm jets})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $P_T^{\rm jet}$ [GeV],,,> 4
#: $N_{\rm jet}$,,,$\ge 2$
#: $\langle P_T \rangle_2$ [GeV],,,5.0-50.0
$\langle P_T \rangle_2$ [GeV],$\langle P_T \rangle_2$ [GeV] LOW,$\langle P_T \rangle_2$ [GeV] HIGH,$c^{\rm rad}$
6.0,5.0,7.0,1.050
9.0,7.0,11.0,1.029
14.0,11.0,17.0,1.009
21.0,17.0,25.0,1.019
30.0,25.0,35.0,1.045
42.5,35.0,50.0,0.969

