#: table_doi: 10.17182/hepdata.83202.v1/t2
#: name: Table 2
#: description: Differential cross sections in the full phase space obtained from the H->gammagamma and H->4l combined measurement for the Higgs boson rapidity |yH|. The NNLOPS ggF prediction scaled to the N3LO cross section is also provided.
#: data_file: xs_yH.yaml
#: keyword reactions: P P --> H
#: keyword observables: Differential cross section
#: keyword cmenergies: 13000.0
#: keyword phrases: Full phase space
#: Distribution,Data
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
yH in absolute value [none],Differential cross-section [pb],stat +,stat -,syst +,syst -
0-0.3,26.1,6.0,-5.8,1.8,-1.5
0.3-0.6,21.4,5.6,-5.3,2.2,-1.8
0.6-0.9,25.9,6.7,-6.3,2.2,-1.7
0.9-1.2,25.1,6.8,-6.4,1.8,-1.3
1.2-1.6,20.6,6.2,-5.7,1.9,-1.5
1.6-2.5,19.2,5.5,-5.1,1.7,-1.2

#: Distribution,NNLOPS (@N3LO) + XH
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
yH in absolute value [none],Differential cross-section [pb],error +,error -
0-0.3,27.0,1.5,-1.5
0.3-0.6,26.3,1.5,-1.5
0.6-0.9,24.9,1.4,-1.4
0.9-1.2,23.1,1.3,-1.3
1.2-1.6,20.2,1.1,-1.1
1.6-2.5,13.55,0.74,-0.74

