#: table_doi: 10.17182/hepdata.83202.v1/t1
#: name: Table 1
#: description: Differential cross sections in the full phase space obtained from the H->gammagamma and H->4l combined measurement for Higgs boson transverse momentum ptH. The NNLOPS ggF prediction scaled to the N3LO cross section is also provided.
#: data_file: xs_pTH.yaml
#: keyword reactions: P P --> H
#: keyword observables: Differential cross section
#: keyword cmenergies: 13000.0
#: keyword phrases: Full phase space
#: Distribution,Data
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
pTH [GeV],Differential cross-section [pb/GeV],stat +,stat -,syst +,syst -
0-10,0.94,0.26,-0.25,0.1,-0.08
10-20,0.87,0.29,-0.27,0.08,-0.07
20-30,0.56,0.23,-0.2,0.05,-0.04
30-45,0.55,0.17,-0.16,0.05,-0.04
45-60,0.29,0.13,-0.12,0.03,-0.02
60-80,0.24,0.09,-0.086,0.022,-0.017
80-120,0.188,0.042,-0.039,0.017,-0.013
120-200,0.063,0.012,-0.011,0.004,-0.003
200-350,0.0088,0.0022,-0.002,0.0009,-0.0007

#: Distribution,NNLOPS (@N3LO) + XH
#: SQRT(S) [GeV],13000
#: LUMINOSITY [fb$^{-1}$],36.1
pTH [GeV],Differential cross-section [pb/GeV],error +,error -
0-10,0.77,0.048,-0.048
10-20,1.052,0.061,-0.061
20-30,0.828,0.049,-0.049
30-45,0.589,0.038,-0.038
45-60,0.388,0.031,-0.031
60-80,0.25,0.022,-0.022
80-120,0.128,0.012,-0.012
120-200,0.0399,0.0047,-0.0047
200-350,0.00601,0.0009,-0.0009

