#: table_doi: 10.17182/hepdata.86390.v1/t51
#: name: Inclusive jets for $Q^2$ = 150-15000 GeV$^2$
#: description: Inclusive jet cross sections for $P_T^{\rm jet}$ = 5-7 GeV$^2$ measured as a function of $Q^2$ in the range 150-15000 GeV$^2$.  The cross section values and uncertainties have been determined in the scope of the analysis of an earlier H1 publication (<a href="https://inspirehep.net/record/1301218">INSPIRE</a>, <a href="https://www.hepdata.net/record/ins1301218">HEPData</a>).  See Table 5 of arXiv:1406.4709v2 for details of the correlation model.
#: data_file: data51.yaml
#: keyword cmenergies: 319.0
#: keyword phrases: Inclusive | Double Differential Cross Section | Jet Production | Neutral Current | Deep Inelastic Scattering
#: keyword reactions: E+ P --> E+ JET(S) X | E- P --> E- JET(S) X
#: keyword observables: SIG
#: $Q^2$ [GeV$^2$],,,150-15000
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 1\,{\rm jet{}})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $N_{\rm jet}$,,,$\ge 1$
#: $P_T^{\rm jet}$ [GeV],,,5.0-7.0
$Q^2$ [GeV$^2$],$Q^2$ [GeV$^2$] LOW,$Q^2$ [GeV$^2$] HIGH,$\sigma$ [pb],stat +,stat -,Model +,Model -,JES +,JES -,RCES +,RCES -,$E_{e^\prime}$ +,$E_{e^\prime}$ -,$\theta_{e^\prime}$ +,$\theta_{e^\prime}$ -,ID(e) +,ID(e) -,LArNoise +,LArNoise -,Norm +,Norm -
175.0,150.0,200.0,88.5,3.7%,-3.7%,+2.0%,-2.0%,-0.85%,+1.07%,+1.97%,-2.12%,-1.09%,+1.20%,-0.36%,+0.36%,+0.48%,-0.48%,0.5%,-0.5%,2.5%,-2.5%
235.0,200.0,270.0,71.9,3.9%,-3.9%,+1.6%,-1.6%,-0.89%,+0.91%,+1.72%,-2.08%,-1.23%,+1.02%,-0.42%,+0.41%,+0.49%,-0.49%,0.5%,-0.5%,2.5%,-2.5%
335.0,270.0,400.0,65.9,4.0%,-4.0%,-1.3%,+1.3%,-0.65%,+0.66%,+1.42%,-1.45%,-0.86%,+1.12%,-0.26%,+0.32%,+0.47%,-0.47%,0.5%,-0.5%,2.5%,-2.5%
550.0,400.0,700.0,46.8,5.6%,-5.6%,+0.6%,-0.6%,-0.32%,+0.48%,+1.24%,-1.16%,-1.35%,+1.21%,-0.16%,+0.22%,+0.40%,-0.40%,0.5%,-0.5%,2.5%,-2.5%
2850.0,700.0,5000.0,40.4,6.4%,-6.4%,+1.2%,-1.2%,-0.29%,+0.42%,+0.71%,-0.61%,+0.15%,+0.10%,-0.33%,+0.34%,+1.12%,-1.12%,0.5%,-0.5%,2.5%,-2.5%
10000.0,5000.0,15000.0,0.913,79.2%,-79.2%,+16.7%,-16.7%,-0.74%,-0.21%,+0.84%,-0.49%,+3.47%,+1.20%,-0.78%,-0.61%,+2.03%,-2.03%,0.5%,-0.5%,2.5%,-2.5%

#: $Q^2$ [GeV$^2$],,,150-15000
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 1\,{\rm jet{}})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $N_{\rm jet}$,,,$\ge 1$
#: $P_T^{\rm jet}$ [GeV],,,5.0-7.0
$Q^2$ [GeV$^2$],$Q^2$ [GeV$^2$] LOW,$Q^2$ [GeV$^2$] HIGH,$c^{\rm had}$,error +,error -
175.0,150.0,200.0,0.90,2.5%,-2.5%
235.0,200.0,270.0,0.90,2.5%,-2.5%
335.0,270.0,400.0,0.90,2.2%,-2.2%
550.0,400.0,700.0,0.90,2.2%,-2.2%
2850.0,700.0,5000.0,0.91,2.0%,-2.0%
10000.0,5000.0,15000.0,0.91,2.0%,-2.0%

#: $Q^2$ [GeV$^2$],,,150-15000
#: $y$,,,0.2-0.6
#: $\sqrt{s}$ [GeV],,,319.0
#: RE,,,$e^\pm\,p \to e^\pm\,(\ge 1\,{\rm jet{}})\,X$
#: $\eta_{\rm lab}^{\rm jet}$,,,-1.0-2.5
#: $N_{\rm jet}$,,,$\ge 1$
#: $P_T^{\rm jet}$ [GeV],,,5.0-7.0
$Q^2$ [GeV$^2$],$Q^2$ [GeV$^2$] LOW,$Q^2$ [GeV$^2$] HIGH,$c^{\rm ew}$
175.0,150.0,200.0,1.00
235.0,200.0,270.0,1.00
335.0,270.0,400.0,1.00
550.0,400.0,700.0,1.00
2850.0,700.0,5000.0,1.02
10000.0,5000.0,15000.0,1.11

