#: table_doi: 10.17182/hepdata.45641.v1/t12
#: name: Table 12
#: description: Inclusive jet cross sections as a function of jet ET in the Breit frames in the Q**2 region 125 to 250 GeV**2.

#: data_file: Table12.yaml
#: keyword reactions: E- P --> E- JET X | E+ P --> E+ JET X
#: keyword observables: DSIG/DET
#: keyword phrases: Inclusive | Single Differential Cross Section | Jet Production | Electron production | Neutral Current | Deep Inelastic Scattering
#: keyword cmenergies: 319.0
#: ABS(COS(GAMMA(H))),,,< 0.65
#: E(P=1) [GeV],,,27.5
#: E(P=2) [GeV],,,920.0
#: ETARAP(P=4,RF=BREIT),,,-2 TO 1.5
#: Q**2 [GEV**2],,,125 TO 250
#: RE,,,E+- P --> E+- JET X
#: SQRT(S) [GeV],,,319.0
ET(P=4) [GEV],ET(P=4) [GEV] LOW,ET(P=4) [GEV] HIGH,D(SIG)/DET(P=4) [PB/GEV],stat +,stat -,sys_1 +,sys_1 -,sys_2 +,sys_2 -
9.0,8.0,10.0,32.97,0.49,-0.49,1.21,-1.21,1.81,-1.69
12.0,10.0,14.0,13.0,0.22,-0.22,0.19,-0.19,0.79,-0.75
16.0,14.0,18.0,3.71,0.11,-0.11,0.15,-0.15,0.28,-0.24
21.5,18.0,25.0,0.835,0.037,-0.037,0.013,-0.012,0.051,-0.056
62.5,25.0,100.0,0.016,0.0014,-0.0014,0.0027,-0.0027,0.001,-0.0011

