0.5,0.0,1.0,72.0,5.0,-5.0,16.0,-14.0
1.25,1.0,1.5,137.0,3.0,-3.0,16.0,-15.0
1.75,1.5,2.0,107.1,1.2,-1.2,9.6,-9.1
2.25,2.0,2.5,78.9,0.7,-0.7,6.3,-6.1
2.75,2.5,3.0,53.2,0.4,-0.4,4.4,-4.0
3.25,3.0,3.5,35.0,0.3,-0.3,2.7,-2.7
3.75,3.5,4.0,22.6,0.2,-0.2,1.7,-1.8
4.5,4.0,5.0,13.9,0.1,-0.1,0.9,-1.1
5.5,5.0,6.0,6.87,0.11,-0.11,0.6,-0.64
6.5,6.0,7.0,3.03,0.09,-0.09,0.32,-0.3
7.5,7.0,8.0,2.31,0.13,-0.13,0.53,-0.47
