IMPPDF	0	48
   1	LATTICE	1.000000000000e+00	1.000000000000e+00	2.617990000000e-01	3.188300000000e-02	1.549000000000e-03	
   2	LATTICE	2.000000000000e+00	1.000000000000e+00	5.235990000000e-01	6.662900000000e-02	3.274000000000e-03	
   3	LATTICE	3.000000000000e+00	1.000000000000e+00	7.853980000000e-01	1.043790000000e-01	5.192000000000e-03	
   4	LATTICE	4.000000000000e+00	1.000000000000e+00	1.047198000000e+00	1.448250000000e-01	7.230000000000e-03	
   5	LATTICE	5.000000000000e+00	1.000000000000e+00	1.308997000000e+00	1.868320000000e-01	9.649000000000e-03	
   6	LATTICE	6.000000000000e+00	1.000000000000e+00	1.570796000000e+00	2.295950000000e-01	1.288400000000e-02	
   7	LATTICE	7.000000000000e+00	1.000000000000e+00	1.832596000000e+00	2.698540000000e-01	1.814600000000e-02	
   8	LATTICE	8.000000000000e+00	1.000000000000e+00	2.094395000000e+00	3.041500000000e-01	2.865500000000e-02	
   9	LATTICE	1.000000000000e+00	2.000000000000e+00	5.235990000000e-01	5.885700000000e-02	8.132000000000e-03	
  10	LATTICE	2.000000000000e+00	2.000000000000e+00	1.047198000000e+00	1.228190000000e-01	1.588800000000e-02	
  11	LATTICE	3.000000000000e+00	2.000000000000e+00	1.570796000000e+00	1.916030000000e-01	2.293200000000e-02	
  12	LATTICE	4.000000000000e+00	2.000000000000e+00	2.094395000000e+00	2.621310000000e-01	3.000900000000e-02	
  13	LATTICE	5.000000000000e+00	2.000000000000e+00	2.617994000000e+00	3.272830000000e-01	3.954500000000e-02	
  14	LATTICE	6.000000000000e+00	2.000000000000e+00	3.141593000000e+00	4.021220000000e-01	5.663600000000e-02	
  15	LATTICE	7.000000000000e+00	2.000000000000e+00	3.665191000000e+00	4.739630000000e-01	7.076500000000e-02	
  16	LATTICE	8.000000000000e+00	2.000000000000e+00	4.188790000000e+00	5.015640000000e-01	9.300500000000e-02	
  17	LATTICE	1.000000000000e+00	3.000000000000e+00	7.853980000000e-01	9.673100000000e-02	2.152900000000e-02	
  18	LATTICE	2.000000000000e+00	3.000000000000e+00	1.570796000000e+00	1.975970000000e-01	4.165300000000e-02	
  19	LATTICE	3.000000000000e+00	3.000000000000e+00	2.356194000000e+00	3.223520000000e-01	3.181000000000e-02	
  20	LATTICE	4.000000000000e+00	3.000000000000e+00	3.141593000000e+00	4.225590000000e-01	4.199400000000e-02	
  21	LATTICE	5.000000000000e+00	3.000000000000e+00	3.926991000000e+00	4.992920000000e-01	5.416800000000e-02	
  22	LATTICE	6.000000000000e+00	3.000000000000e+00	4.712389000000e+00	5.379380000000e-01	7.052800000000e-02	
  23	LATTICE	7.000000000000e+00	3.000000000000e+00	5.497787000000e+00	6.559390000000e-01	3.735400000000e-02	
  24	LATTICE	8.000000000000e+00	3.000000000000e+00	6.283185000000e+00	6.433780000000e-01	3.898600000000e-02	
  25	LATTICE	1.000000000000e+00	4.000000000000e+00	1.047198000000e+00	1.781240000000e-01	6.635000000000e-03	
  26	LATTICE	2.000000000000e+00	4.000000000000e+00	2.094395000000e+00	3.560410000000e-01	1.315000000000e-02	
  27	LATTICE	3.000000000000e+00	4.000000000000e+00	3.141593000000e+00	4.935540000000e-01	4.544000000000e-03	
  28	LATTICE	4.000000000000e+00	4.000000000000e+00	4.188790000000e+00	5.738380000000e-01	6.033000000000e-03	
  29	LATTICE	5.000000000000e+00	4.000000000000e+00	5.235988000000e+00	6.063470000000e-01	7.650000000000e-03	
  30	LATTICE	6.000000000000e+00	4.000000000000e+00	6.283185000000e+00	5.865080000000e-01	1.087000000000e-02	
  31	LATTICE	7.000000000000e+00	4.000000000000e+00	7.330383000000e+00	5.380100000000e-01	1.947300000000e-02	
  32	LATTICE	8.000000000000e+00	4.000000000000e+00	8.377580000000e+00	4.556780000000e-01	2.722700000000e-02	
  33	LATTICE	1.000000000000e+00	5.000000000000e+00	1.308997000000e+00	2.192280000000e-01	1.418600000000e-02	
  34	LATTICE	2.000000000000e+00	5.000000000000e+00	2.617994000000e+00	4.403140000000e-01	1.458400000000e-02	
  35	LATTICE	3.000000000000e+00	5.000000000000e+00	3.926991000000e+00	5.479440000000e-01	5.188000000000e-03	
  36	LATTICE	4.000000000000e+00	5.000000000000e+00	5.235988000000e+00	5.759510000000e-01	9.143000000000e-03	
  37	LATTICE	5.000000000000e+00	5.000000000000e+00	6.544985000000e+00	5.163390000000e-01	1.539600000000e-02	
  38	LATTICE	6.000000000000e+00	5.000000000000e+00	7.853982000000e+00	4.018340000000e-01	2.330300000000e-02	
  39	LATTICE	7.000000000000e+00	5.000000000000e+00	9.162979000000e+00	2.752830000000e-01	3.421300000000e-02	
  40	LATTICE	8.000000000000e+00	5.000000000000e+00	1.047197600000e+01	1.674660000000e-01	5.857900000000e-02	
  41	LATTICE	1.000000000000e+00	6.000000000000e+00	1.570796000000e+00	2.647960000000e-01	3.376200000000e-02	
  42	LATTICE	2.000000000000e+00	6.000000000000e+00	3.141593000000e+00	4.663510000000e-01	2.009800000000e-02	
  43	LATTICE	3.000000000000e+00	6.000000000000e+00	4.712389000000e+00	5.415040000000e-01	1.204200000000e-02	
  44	LATTICE	4.000000000000e+00	6.000000000000e+00	6.283185000000e+00	5.508680000000e-01	4.182600000000e-02	
  45	LATTICE	5.000000000000e+00	6.000000000000e+00	7.853982000000e+00	4.385960000000e-01	7.999500000000e-02	
  46	LATTICE	6.000000000000e+00	6.000000000000e+00	9.424778000000e+00	2.372550000000e-01	1.096360000000e-01	
