REPPDF_170	1	80
   1	LATTICE	1.000000000000e+00	1.000000000000e+00	9.817500000000e-02	9.948410000000e-01	8.163220000000e-03	9.400000000000e-05	9.448746081032e-03	
   2	LATTICE	2.000000000000e+00	1.000000000000e+00	1.963500000000e-01	9.934260000000e-01	8.628160000000e-03	3.740000000000e-04	3.764749462970e-02	
   3	LATTICE	3.000000000000e+00	1.000000000000e+00	2.945240000000e-01	9.923970000000e-01	9.738180000000e-03	8.390000000000e-04	8.454277874681e-02	
   4	LATTICE	4.000000000000e+00	1.000000000000e+00	3.926990000000e-01	9.920070000000e-01	1.086830000000e-02	1.487000000000e-03	1.498981357994e-01	
   5	LATTICE	5.000000000000e+00	1.000000000000e+00	4.908740000000e-01	9.923020000000e-01	1.213070000000e-02	2.314000000000e-03	2.331951361581e-01	
   6	LATTICE	6.000000000000e+00	1.000000000000e+00	5.890490000000e-01	9.919740000000e-01	1.346830000000e-02	3.315000000000e-03	3.341821459030e-01	
   7	LATTICE	7.000000000000e+00	1.000000000000e+00	6.872230000000e-01	9.939460000000e-01	1.505790000000e-02	4.485000000000e-03	4.512317570572e-01	
   8	LATTICE	8.000000000000e+00	1.000000000000e+00	7.853980000000e-01	9.981380000000e-01	1.777020000000e-02	5.817000000000e-03	5.827851459417e-01	
   9	LATTICE	1.000000000000e+00	2.000000000000e+00	1.963500000000e-01	9.930660000000e-01	1.637640000000e-02	3.740000000000e-04	3.766114236113e-02	
  10	LATTICE	2.000000000000e+00	2.000000000000e+00	3.926990000000e-01	9.950000000000e-01	4.860020000000e-02	1.487000000000e-03	1.494472361809e-01	
  11	LATTICE	3.000000000000e+00	2.000000000000e+00	5.890490000000e-01	9.696840000000e-01	6.487770000000e-02	3.315000000000e-03	3.418639474303e-01	
  12	LATTICE	4.000000000000e+00	2.000000000000e+00	7.853980000000e-01	9.774140000000e-01	5.349630000000e-02	5.817000000000e-03	5.951418743746e-01	
  13	LATTICE	5.000000000000e+00	2.000000000000e+00	9.817480000000e-01	9.402330000000e-01	6.696100000000e-02	8.937000000000e-03	9.505090759418e-01	
  14	LATTICE	6.000000000000e+00	2.000000000000e+00	1.178100000000e+00	9.444460000000e-01	7.166480000000e-02	1.164000000000e-02	1.232468558287e+00	
  15	LATTICE	7.000000000000e+00	2.000000000000e+00	1.374450000000e+00	9.445250000000e-01	6.450620000000e-02	1.566500000000e-02	1.658505598052e+00	
  16	LATTICE	8.000000000000e+00	2.000000000000e+00	1.570800000000e+00	9.150960000000e-01	7.988920000000e-02	2.008600000000e-02	2.194960965844e+00	
  17	LATTICE	1.000000000000e+00	3.000000000000e+00	2.945240000000e-01	9.955790000000e-01	6.132990000000e-03	8.390000000000e-04	8.427256902767e-02	
  18	LATTICE	2.000000000000e+00	3.000000000000e+00	5.890490000000e-01	9.751830000000e-01	4.685210000000e-02	3.315000000000e-03	3.399361965908e-01	
  19	LATTICE	3.000000000000e+00	3.000000000000e+00	8.835730000000e-01	9.414780000000e-01	7.656070000000e-02	7.304000000000e-03	7.758014526096e-01	
  20	LATTICE	4.000000000000e+00	3.000000000000e+00	1.178100000000e+00	9.428920000000e-01	2.705990000000e-02	1.164000000000e-02	1.234499815461e+00	
  21	LATTICE	5.000000000000e+00	3.000000000000e+00	1.472620000000e+00	9.102200000000e-01	2.555230000000e-02	1.783200000000e-02	1.959086814177e+00	
  22	LATTICE	6.000000000000e+00	3.000000000000e+00	1.767150000000e+00	8.759300000000e-01	3.128960000000e-02	2.480300000000e-02	2.831618964986e+00	
  23	LATTICE	7.000000000000e+00	3.000000000000e+00	2.061670000000e+00	8.152470000000e-01	3.539450000000e-02	3.219700000000e-02	3.949355226085e+00	
  24	LATTICE	8.000000000000e+00	3.000000000000e+00	2.356190000000e+00	7.630990000000e-01	6.196240000000e-02	3.963600000000e-02	5.194083598589e+00	
  25	LATTICE	1.000000000000e+00	4.000000000000e+00	3.926990000000e-01	9.935210000000e-01	5.373420000000e-03	1.487000000000e-03	1.496697100514e-01	
  26	LATTICE	2.000000000000e+00	4.000000000000e+00	7.853980000000e-01	9.741450000000e-01	2.427690000000e-02	5.817000000000e-03	5.971390296106e-01	
  27	LATTICE	3.000000000000e+00	4.000000000000e+00	1.178100000000e+00	9.350080000000e-01	1.674230000000e-02	1.164000000000e-02	1.244909134467e+00	
  28	LATTICE	4.000000000000e+00	4.000000000000e+00	1.570800000000e+00	8.850860000000e-01	2.452820000000e-02	2.008600000000e-02	2.269383992064e+00	
  29	LATTICE	5.000000000000e+00	4.000000000000e+00	1.963490000000e+00	8.174530000000e-01	2.696670000000e-02	2.970800000000e-02	3.634215055789e+00	
  30	LATTICE	6.000000000000e+00	4.000000000000e+00	2.356190000000e+00	7.601700000000e-01	3.730840000000e-02	3.963600000000e-02	5.214096846758e+00	
  31	LATTICE	7.000000000000e+00	4.000000000000e+00	2.748890000000e+00	6.622640000000e-01	3.955160000000e-02	4.896600000000e-02	7.393728180907e+00	
  32	LATTICE	8.000000000000e+00	4.000000000000e+00	3.141590000000e+00	5.537890000000e-01	4.987550000000e-02	5.684400000000e-02	1.026455924549e+01	
  33	LATTICE	1.000000000000e+00	5.000000000000e+00	4.908740000000e-01	9.880600000000e-01	1.735450000000e-03	2.314000000000e-03	2.341963038682e-01	
  34	LATTICE	2.000000000000e+00	5.000000000000e+00	9.817480000000e-01	9.512340000000e-01	6.460530000000e-03	8.937000000000e-03	9.395164596724e-01	
