IMPPDF_170	1	80
   1	LATTICE	1.000000000000e+00	1.000000000000e+00	9.817500000000e-02	1.286600000000e-02	3.546000000000e-03	2.114000000000e-03	1.643090315560e+01	
   2	LATTICE	2.000000000000e+00	1.000000000000e+00	1.963500000000e-01	2.812900000000e-02	6.494240000000e-03	4.213000000000e-03	1.497742543283e+01	
   3	LATTICE	3.000000000000e+00	1.000000000000e+00	2.945240000000e-01	4.548400000000e-02	9.108690000000e-03	6.283000000000e-03	1.381364875561e+01	
   4	LATTICE	4.000000000000e+00	1.000000000000e+00	3.926990000000e-01	6.201700000000e-02	1.232690000000e-02	8.309000000000e-03	1.339793927471e+01	
   5	LATTICE	5.000000000000e+00	1.000000000000e+00	4.908740000000e-01	7.494700000000e-02	1.726200000000e-02	1.027800000000e-02	1.371369100831e+01	
   6	LATTICE	6.000000000000e+00	1.000000000000e+00	5.890490000000e-01	8.718500000000e-02	2.309040000000e-02	1.217500000000e-02	1.396455812353e+01	
   7	LATTICE	7.000000000000e+00	1.000000000000e+00	6.872230000000e-01	9.303100000000e-02	3.335510000000e-02	1.398600000000e-02	1.503369844460e+01	
   8	LATTICE	8.000000000000e+00	1.000000000000e+00	7.853980000000e-01	9.168900000000e-02	5.730100000000e-02	1.569700000000e-02	1.711982898712e+01	
   9	LATTICE	1.000000000000e+00	2.000000000000e+00	1.963500000000e-01	2.322600000000e-02	7.622950000000e-03	4.213000000000e-03	1.813915439594e+01	
  10	LATTICE	2.000000000000e+00	2.000000000000e+00	3.926990000000e-01	4.998500000000e-02	1.479390000000e-02	8.309000000000e-03	1.662298689607e+01	
  11	LATTICE	3.000000000000e+00	2.000000000000e+00	5.890490000000e-01	8.009600000000e-02	2.163520000000e-02	1.217500000000e-02	1.520050938873e+01	
  12	LATTICE	4.000000000000e+00	2.000000000000e+00	7.853980000000e-01	1.063470000000e-01	3.025310000000e-02	1.569700000000e-02	1.476017189013e+01	
  13	LATTICE	5.000000000000e+00	2.000000000000e+00	9.817480000000e-01	1.259180000000e-01	4.248710000000e-02	1.876800000000e-02	1.490493813434e+01	
  14	LATTICE	6.000000000000e+00	2.000000000000e+00	1.178100000000e+00	1.500830000000e-01	5.420580000000e-02	2.071200000000e-02	1.380036379870e+01	
  15	LATTICE	7.000000000000e+00	2.000000000000e+00	1.374450000000e+00	1.765610000000e-01	6.801900000000e-02	2.275000000000e-02	1.288506521825e+01	
  16	LATTICE	8.000000000000e+00	2.000000000000e+00	1.570800000000e+00	1.963580000000e-01	9.083990000000e-02	2.407100000000e-02	1.225873150063e+01	
  17	LATTICE	1.000000000000e+00	3.000000000000e+00	2.945240000000e-01	4.158800000000e-02	1.748220000000e-02	6.283000000000e-03	1.510772338174e+01	
  18	LATTICE	2.000000000000e+00	3.000000000000e+00	5.890490000000e-01	8.915600000000e-02	3.376680000000e-02	1.217500000000e-02	1.365583920319e+01	
  19	LATTICE	3.000000000000e+00	3.000000000000e+00	8.835730000000e-01	1.412350000000e-01	5.305430000000e-02	1.729500000000e-02	1.224554819981e+01	
  20	LATTICE	4.000000000000e+00	3.000000000000e+00	1.178100000000e+00	2.215120000000e-01	5.301740000000e-02	2.071200000000e-02	9.350283506085e+00	
  21	LATTICE	5.000000000000e+00	3.000000000000e+00	1.472620000000e+00	2.857930000000e-01	7.033990000000e-02	2.350600000000e-02	8.224834058217e+00	
  22	LATTICE	6.000000000000e+00	3.000000000000e+00	1.767150000000e+00	3.490980000000e-01	1.008560000000e-01	2.459600000000e-02	7.045586053200e+00	
  23	LATTICE	7.000000000000e+00	3.000000000000e+00	2.061670000000e+00	4.124240000000e-01	1.028710000000e-01	2.374000000000e-02	5.756212053615e+00	
  24	LATTICE	8.000000000000e+00	3.000000000000e+00	2.356190000000e+00	4.596090000000e-01	1.227210000000e-01	2.075800000000e-02	4.516447676177e+00	
  25	LATTICE	1.000000000000e+00	4.000000000000e+00	3.926990000000e-01	7.726600000000e-02	1.299180000000e-02	8.309000000000e-03	1.075375973908e+01	
  26	LATTICE	2.000000000000e+00	4.000000000000e+00	7.853980000000e-01	1.568650000000e-01	2.990020000000e-02	1.569700000000e-02	1.000669365378e+01	
  27	LATTICE	3.000000000000e+00	4.000000000000e+00	1.178100000000e+00	2.370680000000e-01	5.230420000000e-02	2.071200000000e-02	8.736733764152e+00	
  28	LATTICE	4.000000000000e+00	4.000000000000e+00	1.570800000000e+00	3.113380000000e-01	9.757640000000e-02	2.407100000000e-02	7.731468693189e+00	
  29	LATTICE	5.000000000000e+00	4.000000000000e+00	1.963490000000e+00	3.467350000000e-01	1.555220000000e-01	2.425400000000e-02	6.994967338169e+00	
  30	LATTICE	6.000000000000e+00	4.000000000000e+00	2.356190000000e+00	4.381260000000e-01	1.512350000000e-01	2.075800000000e-02	4.737906447004e+00	
  31	LATTICE	7.000000000000e+00	4.000000000000e+00	2.748890000000e+00	5.205080000000e-01	1.169300000000e-01	1.331100000000e-02	2.557309397742e+00	
  32	LATTICE	8.000000000000e+00	4.000000000000e+00	3.141590000000e+00	5.699730000000e-01	8.142410000000e-02	1.927000000000e-03	3.380861900476e-01	
  33	LATTICE	1.000000000000e+00	5.000000000000e+00	4.908740000000e-01	1.014260000000e-01	3.071800000000e-02	1.027800000000e-02	1.013349634216e+01	
  34	LATTICE	2.000000000000e+00	5.000000000000e+00	9.817480000000e-01	2.006290000000e-01	6.893980000000e-02	1.876800000000e-02	9.354579846383e+00	
