CMS_Z_13TEV_DIFF_ZRAP_2E	6	12
   1	EWK_PT	1.000000000000e-01	8.315178393760e+03	1.300000000000e+04	4.030700000000e+02	3.400903125000e-01	6.945299170000e-01	1.723100000000e-01	3.199972730000e-01	7.939000000000e-02	4.144768810000e-02	1.028300000000e-02	4.254403850000e+00	1.055500000000e+00	2.829873856000e+00	7.020800000000e-01	1.007675000000e+01	2.500000000000e+00	
   2	EWK_PT	3.000000000000e-01	8.315178393760e+03	1.300000000000e+04	4.030400000000e+02	3.413668192000e-01	6.954455200000e-01	1.725500000000e-01	3.199734560000e-01	7.939000000000e-02	4.192019040000e-02	1.040100000000e-02	4.254087200000e+00	1.055500000000e+00	2.839013760000e+00	7.044000000000e-01	1.007600000000e+01	2.500000000000e+00	
   3	EWK_PT	5.000000000000e-01	8.315178393760e+03	1.300000000000e+04	4.013000000000e+02	3.440304770000e-01	6.946904300000e-01	1.731100000000e-01	4.002325420000e-01	9.973400000000e-02	4.242142300000e-02	1.057100000000e-02	4.295916500000e+00	1.070500000000e+00	2.871582410000e+00	7.155700000000e-01	1.003250000000e+01	2.500000000000e+00	
   4	EWK_PT	7.000000000000e-01	8.315178393760e+03	1.300000000000e+04	3.963600000000e+02	3.466406016000e-01	6.895474920000e-01	1.739700000000e-01	5.565687120000e-01	1.404200000000e-01	4.243033800000e-02	1.070500000000e-02	4.377003480000e+00	1.104300000000e+00	2.929893120000e+00	7.392000000000e-01	9.909000000000e+00	2.500000000000e+00	
   5	EWK_PT	9.000000000000e-01	8.315178393760e+03	1.300000000000e+04	3.920000000000e+02	3.504597600000e-01	6.859608000000e-01	1.749900000000e-01	6.351184000000e-01	1.620200000000e-01	4.165392000000e-02	1.062600000000e-02	4.418232000000e+00	1.127100000000e+00	3.063480000000e+00	7.815000000000e-01	9.800000000000e+00	2.500000000000e+00	
   6	EWK_PT	1.100000000000e+00	8.315178393760e+03	1.300000000000e+04	3.914000000000e+02	3.578687620000e-01	6.898425000000e-01	1.762500000000e-01	6.439704200000e-01	1.645300000000e-01	4.046684600000e-02	1.033900000000e-02	4.481530000000e+00	1.145000000000e+00	3.393946820000e+00	8.671300000000e-01	9.785000000000e+00	2.500000000000e+00	
   7	EWK_PT	1.300000000000e+00	8.315178393760e+03	1.300000000000e+04	3.764500000000e+02	3.562308705000e-01	6.703445150000e-01	1.780700000000e-01	6.241164550000e-01	1.657900000000e-01	3.816450100000e-02	1.013800000000e-02	4.416134950000e+00	1.173100000000e+00	3.757196870000e+00	9.980600000000e-01	9.411250000000e+00	2.500000000000e+00	
   8	EWK_PT	1.500000000000e+00	8.315178393760e+03	1.300000000000e+04	3.341600000000e+02	3.397738880000e-01	6.070684720000e-01	1.816700000000e-01	6.202343760000e-01	1.856100000000e-01	3.429484080000e-02	1.026300000000e-02	4.032642880000e+00	1.206800000000e+00	3.864894560000e+00	1.156600000000e+00	8.354000000000e+00	2.500000000000e+00	
   9	EWK_PT	1.700000000000e+00	8.315178393760e+03	1.300000000000e+04	2.732700000000e+02	3.139325760000e-01	5.163983190000e-01	1.889700000000e-01	6.577062360000e-01	2.406800000000e-01	2.970718170000e-02	1.087100000000e-02	3.422160210000e+00	1.252300000000e+00	3.641596020000e+00	1.332600000000e+00	6.831750000000e+00	2.500000000000e+00	
  10	EWK_PT	1.900000000000e+00	8.315178393760e+03	1.300000000000e+04	2.010200000000e+02	2.777493340000e-01	4.092365160000e-01	2.035800000000e-01	5.856717700000e-01	2.913500000000e-01	2.379875780000e-02	1.183900000000e-02	2.725831200000e+00	1.356000000000e+00	3.276424980000e+00	1.629900000000e+00	5.025500000000e+00	2.500000000000e+00	
  11	EWK_PT	2.100000000000e+00	8.315178393760e+03	1.300000000000e+04	1.199800000000e+02	2.203432700000e-01	2.809211720000e-01	2.341400000000e-01	3.680746440000e-01	3.067800000000e-01	1.546662180000e-02	1.289100000000e-02	1.965512360000e+00	1.638200000000e+00	2.812931100000e+00	2.344500000000e+00	2.999500000000e+00	2.500000000000e+00	
  12	EWK_PT	2.300000000000e+00	8.315178393760e+03	1.300000000000e+04	3.725100000000e+01	9.488574720000e-02	1.052489754000e-01	2.825400000000e-01	1.142786178000e-01	3.067800000000e-01	5.257978650000e-03	1.411500000000e-02	7.875978930000e-01	2.114300000000e+00	1.314401535000e+00	3.528500000000e+00	9.312750000000e-01	2.500000000000e+00	
