REPPDF_fine	4	48
   1	LATTICE	1.000000000000e+00	1.000000000000e+00	1.963500000000e-01	9.994740000000e-01	7.157720000000e-04	6.900000000000e-05	6.903631310069e-03	1.000000000000e-04	1.000526276822e-02	4.600000000000e-05	1.000526276822e-02	0.000000000000e+00	4.602420873379e-03	
   2	LATTICE	2.000000000000e+00	1.000000000000e+00	3.926990000000e-01	9.976320000000e-01	2.019020000000e-03	2.830000000000e-04	2.836717346677e-02	4.180000000000e-04	4.189921734668e-02	1.810000000000e-04	4.189921734668e-02	1.630580000000e-03	1.814296253528e-02	
   3	LATTICE	3.000000000000e+00	1.000000000000e+00	5.890490000000e-01	9.929880000000e-01	3.093000000000e-03	5.960000000000e-04	6.002086631460e-02	9.070000000000e-04	9.134047944185e-02	3.980000000000e-04	9.134047944185e-02	5.564250000000e-03	4.008104831076e-02	
   4	LATTICE	4.000000000000e+00	1.000000000000e+00	7.853980000000e-01	9.846210000000e-01	3.929630000000e-03	1.003000000000e-03	1.018666065420e-01	1.594000000000e-03	1.618897017228e-01	6.850000000000e-04	1.618897017228e-01	2.239770000000e-02	6.956991573407e-02	
   5	LATTICE	5.000000000000e+00	1.000000000000e+00	9.817480000000e-01	9.725240000000e-01	4.894200000000e-03	1.430000000000e-03	1.470400730470e-01	2.422000000000e-03	2.490426971468e-01	1.027000000000e-03	2.490426971468e-01	3.819750000000e-02	1.056015070065e-01	
   6	LATTICE	6.000000000000e+00	1.000000000000e+00	1.178100000000e+00	9.560980000000e-01	6.344220000000e-03	1.790000000000e-03	1.872193017871e-01	3.297000000000e-03	3.448391273698e-01	1.307000000000e-03	3.448391273698e-01	5.801800000000e-02	1.367014678412e-01	
   7	LATTICE	7.000000000000e+00	1.000000000000e+00	1.374450000000e+00	9.355300000000e-01	9.523690000000e-03	2.041000000000e-03	2.181651042724e-01	4.261000000000e-03	4.554637478221e-01	1.695000000000e-03	4.554637478221e-01	0.000000000000e+00	1.811807210886e-01	
   8	LATTICE	8.000000000000e+00	1.000000000000e+00	1.570800000000e+00	9.186270000000e-01	1.692020000000e-02	2.068000000000e-03	2.251185736975e-01	5.208000000000e-03	5.669330424645e-01	2.077000000000e-03	5.669330424645e-01	6.569930000000e-02	2.260982966971e-01	
   9	LATTICE	1.000000000000e+00	2.000000000000e+00	3.926990000000e-01	9.969210000000e-01	6.979100000000e-03	2.830000000000e-04	2.838740481944e-02	4.180000000000e-04	4.192909969797e-02	1.810000000000e-04	4.192909969797e-02	0.000000000000e+00	1.815590202233e-02	
  10	LATTICE	2.000000000000e+00	2.000000000000e+00	7.853980000000e-01	1.005670000000e+00	4.267940000000e-02	1.003000000000e-03	9.973450535464e-02	1.594000000000e-03	1.585012976424e-01	6.850000000000e-04	1.585012976424e-01	3.981430000000e-02	6.811379478358e-02	
  11	LATTICE	3.000000000000e+00	2.000000000000e+00	1.178100000000e+00	9.793830000000e-01	3.576480000000e-02	1.790000000000e-03	1.827681305475e-01	3.297000000000e-03	3.366405175503e-01	1.307000000000e-03	3.366405175503e-01	7.329980000000e-02	1.334513668299e-01	
  12	LATTICE	4.000000000000e+00	2.000000000000e+00	1.570800000000e+00	9.477120000000e-01	4.214770000000e-02	2.068000000000e-03	2.182097514857e-01	5.208000000000e-03	5.495340356564e-01	2.077000000000e-03	5.495340356564e-01	8.096760000000e-02	2.191594070773e-01	
  13	LATTICE	5.000000000000e+00	2.000000000000e+00	1.963490000000e+00	8.983430000000e-01	4.372310000000e-02	1.097000000000e-03	1.221137138042e-01	6.745000000000e-03	7.508268000085e-01	2.710000000000e-03	7.508268000085e-01	1.274050000000e-01	3.016665126795e-01	
  14	LATTICE	6.000000000000e+00	2.000000000000e+00	2.356190000000e+00	8.293210000000e-01	3.955330000000e-02	1.869000000000e-03	2.253650878249e-01	7.408000000000e-03	8.932608724487e-01	2.982000000000e-03	8.932608724487e-01	1.014390000000e-01	3.595712637206e-01	
  15	LATTICE	7.000000000000e+00	2.000000000000e+00	2.748890000000e+00	7.485130000000e-01	8.135630000000e-02	7.539000000000e-03	1.007196935791e+00	6.620000000000e-03	8.844201770711e-01	2.677000000000e-03	8.844201770711e-01	0.000000000000e+00	3.576424190361e-01	
  16	LATTICE	8.000000000000e+00	2.000000000000e+00	3.141590000000e+00	6.729110000000e-01	4.484870000000e-02	1.673600000000e-02	2.487104535369e+00	3.720000000000e-03	5.528219928044e-01	1.620000000000e-03	5.528219928044e-01	1.351630000000e-01	2.407450613826e-01	
  17	LATTICE	1.000000000000e+00	3.000000000000e+00	5.890490000000e-01	9.906860000000e-01	5.733300000000e-03	5.960000000000e-04	6.016033334477e-02	9.070000000000e-04	9.155272205320e-02	3.980000000000e-04	9.155272205320e-02	0.000000000000e+00	4.017418233426e-02	
  18	LATTICE	2.000000000000e+00	3.000000000000e+00	1.178100000000e+00	9.597540000000e-01	2.272640000000e-02	1.790000000000e-03	1.865061255280e-01	3.297000000000e-03	3.435255284167e-01	1.307000000000e-03	3.435255284167e-01	4.898920000000e-02	1.361807296453e-01	
  19	LATTICE	3.000000000000e+00	3.000000000000e+00	1.767150000000e+00	8.968080000000e-01	3.618520000000e-02	1.796000000000e-03	2.002658317053e-01	6.030000000000e-03	6.723847244895e-01	2.424000000000e-03	6.723847244895e-01	0.000000000000e+00	2.702919688495e-01	
