0.000 2.000 0.664 0.013 0.062
1.000 2.000 0.725 0.009 0.051
2.000 2.000 0.776 0.009 0.044
3.000 2.000 0.800 0.010 0.041
4.000 2.000 0.827 0.012 0.042
5.000 2.000 0.881 0.017 0.045
6.000 2.000 0.834 0.021 0.044
7.000 2.000 0.833 0.027 0.050
8.000 2.000 0.817 0.036 0.062
9.000 2.000 0.800 0.043 0.070
0.000 2.500 0.612 0.006 0.034
1.000 2.500 0.645 0.004 0.033
2.000 2.500 0.700 0.005 0.034
3.000 2.500 0.736 0.006 0.035
4.000 2.500 0.807 0.009 0.039
5.000 2.500 0.827 0.014 0.041
6.000 2.500 0.856 0.021 0.050
7.000 2.500 0.790 0.026 0.049
8.000 2.500 0.896 0.041 0.078
9.000 2.500 0.832 0.051 0.097
0.000 3.000 0.595 0.008 0.032
1.000 3.000 0.647 0.006 0.032
2.000 3.000 0.712 0.006 0.034
3.000 3.000 0.759 0.009 0.038
4.000 3.000 0.779 0.011 0.038
5.000 3.000 0.754 0.017 0.048
6.000 3.000 0.783 0.027 0.093
7.000 3.000 0.763 0.045 0.176
8.000 3.000 0.646 0.064 0.199
9.000 3.000 0.567 0.134 0.261
0.000 3.500 0.649 0.015 0.039
1.000 3.500 0.632 0.010 0.040
2.000 3.500 0.680 0.011 0.040
3.000 3.500 0.662 0.014 0.053
4.000 3.500 0.696 0.025 0.131
5.000 3.500 0.674 0.057 0.256
6.000 3.500 0.565 0.152 0.360
