23480.0	170.0	250.0	1700.0
38450.0	190.0	350.0	2190.0
23730.0	110.0	200.0	1080.0
11090.0	60.0	100.0	470.0
5230.0	40.0	60.0	210.0
2530.0	30.0	40.0	110.0
1260.0	20.0	20.0	50.0
660.0	10.0	20.0	40.0
380.0	10.0	10.0	30.0
240.0	10.0	10.0	20.0
22010.0	160.0	200.0	1160.0
33790.0	180.0	260.0	1500.0
20340.0	100.0	160.0	820.0
9310.0	50.0	90.0	380.0
4360.0	30.0	50.0	170.0
2040.0	20.0	30.0	90.0
1040.0	20.0	20.0	60.0
530.0	10.0	10.0	30.0
320.0	10.0	10.0	30.0
170.0	10.0	10.0	20.0
20190.0	210.0	230.0	1020.0
29890.0	220.0	280.0	1310.0
16840.0	110.0	170.0	690.0
7730.0	60.0	90.0	360.0
3320.0	40.0	50.0	140.0
1470.0	20.0	30.0	100.0
720.0	20.0	20.0	100.0
360.0	20.0	20.0	90.0
170.0	20.0	20.0	60.0
70.0	10.0	10.0	30.0
18410.0	360.0	330.0	1090.0
24170.0	340.0	400.0	1630.0
13030.0	170.0	230.0	780.0
5220.0	90.0	110.0	460.0
2170.0	70.0	70.0	450.0
930.0	70.0	70.0	370.0
310.0	80.0	60.0	200.0
